# Name,E_Field_X,E_Field_Y,E_Field_Z,Energy,Dipole_Moment_z,Polarizability_zz,Polarizability_xz,Hyperpolarizability_zzz
lib_bnnt_M062X_Z-48.FChk,0.0,0.0,-0.0004800000000000002,-1286.9392250207,1.809564415101229,367.2578975052928,1.2427836537654e-12,-1969.82673136309
lib_bnnt_M062X_Z-47.FChk,0.0,0.0,-0.0004700000000000002,-1286.939206943463,1.805891931877716,367.2390234756044,-6.397105067890152e-13,-1804.411224316963
lib_bnnt_M062X_Z-46.FChk,0.0,0.0,-0.0004600000000000002,-1286.939188902896,1.802219629039548,367.221819695828,-1.353361867018066e-12,-1635.775239428722
lib_bnnt_M062X_Z-45.FChk,0.0,0.0,-0.0004500000000000002,-1286.939170899015,1.79854748978126,367.2063177173333,-5.977440764581843e-13,-1464.275145941051
lib_bnnt_M062X_Z-44.FChk,0.0,0.0,-0.0004400000000000002,-1286.939152931961,1.794875496962188,367.1925425980301,-1.87649895622144e-12,-1290.394349181479
lib_bnnt_M062X_Z-43.FChk,0.0,0.0,-0.0004300000000000002,-1286.939135001553,1.791203633130184,367.1805152024093,3.206324095117452e-13,-1114.809423635562
lib_bnnt_M062X_Z-42.FChk,0.0,0.0,-0.0004200000000000002,-1286.939117107862,1.787531880767298,367.1702634764637,1.361355472795367e-12,-938.4597574011935
lib_bnnt_M062X_Z-41.FChk,0.0,0.0,-0.0004100000000000002,-1286.939099250876,1.783860222251192,367.1617442743952,-1.112000935776791e-09,-762.6478979047239
lib_bnnt_M062X_Z-40.FChk,0.0,0.0,-0.0004000000000000002,-1286.939081430718,1.780188640067588,367.1549877082862,-8.331113576787175e-13,-589.0908776635611
lib_bnnt_M062X_Z-39.FChk,0.0,0.0,-0.0003900000000000002,-1286.939063647174,1.776517116798553,367.1499473816888,4.296563105299356e-13,-420.0482001339531
lib_bnnt_M062X_Z-38.FChk,0.0,0.0,-0.0003800000000000002,-1286.939045900311,1.772845635602241,367.1465625075978,-6.559197629485425e-13,-258.3884493739198
lib_bnnt_M062X_Z-37.FChk,0.0,0.0,-0.0003700000000000002,-1286.939028190198,1.769174180317836,367.1447433487834,4.058975378029572e-13,-107.6586750394197
lib_bnnt_M062X_Z-36.FChk,0.0,0.0,-0.0003600000000000001,-1286.939010516863,1.765502735889688,367.1443589276136,-1.330047183500938e-12,27.88885840256756
lib_bnnt_M062X_Z-35.FChk,0.0,0.0,-0.0003500000000000002,-1286.938992880164,1.761831288927591,367.1452340710649,-1.540989558179717e-13,143.335055776891
lib_bnnt_M062X_Z-34.FChk,0.0,0.0,-0.0003400000000000001,-1286.938975280179,1.758159827802476,367.1471410064335,1.134425886561985e-12,233.2422322385541
lib_bnnt_M062X_Z-33.FChk,0.0,0.0,-0.0003300000000000002,-1286.938957716984,1.754488343632437,367.1497953389283,-1.093347634650854e-12,291.9294286879648
lib_bnnt_M062X_Z-32.FChk,0.0,0.0,-0.0003200000000000001,-1286.938940190387,1.750816830536465,367.1528570147528,-9.479084184249587e-13,313.9284147287104
lib_bnnt_M062X_Z-31.FChk,0.0,0.0,-0.0003100000000000001,-1286.938922700668,1.747145286428738,367.1559358301314,-4.9649173661237e-13,294.6125347307413
lib_bnnt_M062X_Z-30.FChk,0.0,0.0,-0.0003000000000000001,-1286.938905247519,1.743473713238055,367.158601501029,-7.007727731433988e-13,230.9730968966552
lib_bnnt_M062X_Z-29.FChk,0.0,0.0,-0.0002900000000000001,-1286.938887831202,1.739802117272569,367.1604054133533,1.181277298201167e-13,122.4545326768138
lib_bnnt_M062X_Z-28.FChk,0.0,0.0,-0.0002800000000000001,-1286.938870451601,1.736130509430943,367.1609088054984,4.161115896295087e-13,-28.29899125852199
lib_bnnt_M062X_Z-27.FChk,0.0,0.0,-0.0002700000000000001,-1286.938853108542,1.732458904624479,367.1597186715884,-2.353006678390557e-12,-214.9967622012233
lib_bnnt_M062X_Z-26.FChk,0.0,0.0,-0.0002600000000000001,-1286.938835802443,1.72878732177377,367.1565219495479,-5.617728504603292e-14,-427.7016730402085
lib_bnnt_M062X_Z-25.FChk,0.0,0.0,-0.0002500000000000001,-1286.938818532763,1.725115781685656,367.1511210696179,1.485034317738609e-12,-653.4266596381019
lib_bnnt_M062X_Z-24.FChk,0.0,0.0,-0.0002400000000000001,-1286.938801300059,1.721444306907116,367.1434600810292,8.43991543320044e-13,-877.260644657391
lib_bnnt_M062X_Z-23.FChk,0.0,0.0,-0.0002300000000000001,-1286.938784103956,1.717772919686809,367.1336337861576,-2.733369086627135e-13,-1083.849466968604
lib_bnnt_M062X_Z-22.FChk,0.0,0.0,-0.0002200000000000001,-1286.938766944616,1.714101640650859,367.1218885960155,6.434852650727407e-13,-1258.950614228601
lib_bnnt_M062X_Z-21.FChk,0.0,0.0,-0.0002100000000000001,-1286.93874982189,1.710430487094421,367.1085993995536,2.41140440948584e-13,-1390.750045509894
lib_bnnt_M062X_Z-20.FChk,0.0,0.0,-0.0002000000000000001,-1286.938732735982,1.706759472149394,367.0942462567147,-2.136069099378801e-13,-1470.766123241451
lib_bnnt_M062X_Z-19.FChk,0.0,0.0,-0.0001900000000000001,-1286.938715686653,1.703088603911828,367.0793730056584,7.398526236102043e-13,-1494.276496920381
lib_bnnt_M062X_Z-18.FChk,0.0,0.0,-0.0001800000000000001,-1286.938698674136,1.699417884586334,367.0645522900799,1.691535800318889e-12,-1460.373598131037
lib_bnnt_M062X_Z-17.FChk,0.0,0.0,-0.0001700000000000001,-1286.938681698361,1.695747310814355,367.05034786986,8.570921750106209e-14,-1371.8090474062
lib_bnnt_M062X_Z-16.FChk,0.0,0.0,-0.0001600000000000001,-1286.938664759179,1.692076873803205,367.03727789724,3.128386438788766e-12,-1234.81742960566
lib_bnnt_M062X_Z-15.FChk,0.0,0.0,-0.0001500000000000001,-1286.938647856817,1.688406560001169,367.0257814007532,-3.168576512280197e-13,-1059.053466405627
lib_bnnt_M062X_Z-14.FChk,0.0,0.0,-0.0001400000000000001,-1286.938630991093,1.684736351871008,367.0161831633439,-2.668976151198876e-13,-857.7073453809065
lib_bnnt_M062X_Z-13.FChk,0.0,0.0,-0.00013,-1286.93861416201,1.681066229330943,367.0086563160353,7.138734048339757e-13,-647.7618583946704
lib_bnnt_M062X_Z-12.FChk,0.0,0.0,-0.00012,-1286.93859736972,1.677396171868119,367.0031861302678,-9.465761507954085e-13,-450.2465834385842
lib_bnnt_M062X_Z-11.FChk,0.0,0.0,-0.00011,-1286.938580614177,1.673726159612458,366.9995272467723,5.664357871637549e-13,-290.1997550901143
